"CENSUS_ID","LENGTH","PRE_DIR","the_geom","STREET_NAM","STREET_TYP","SUF_DIR","ROUTE_NUMB","CFCC","F_ZLEVEL","T_ZLEVEL","TRAVEL_DIR","ONEWAY","SPEED","L_MUNI","R_MUNI","GlobalID"
"164,944","1,684.21",,"MULTILINESTRING ((-77.28088313815485 39.17857733788193, -77.28074692010944 39.178697783628174, -77.28053689240286 39.17888670325024, -77.28032638288254 39.17906584201831, -77.2801475229493 39.179219851292274, -77.27992333372357 39.17939661869719, -77.27964902721088 39.17961245957875, -77.27921848303215 39.17990520516333, -77.27879796095057 39.18016858137332, -77.27847018146768 39.180356232186114, -77.27821716173172 39.18049205291018, -77.277957981917 39.18063183491466, -77.27739455617737 39.18088936700887, -77.276657283875 39.18123379259638, -77.27624434949583 39.18141168517386))","FATHER HURLEY","BLVD",,,"A30","0","0","2",,"40","MCG","MCG","a30bcb4a-1919-4c15-beac-0d73b0a843f2"
"132,388","45.2067",,"MULTILINESTRING ((-77.17788839739042 39.17110055010486, -77.17795382662705 39.17117080655321, -77.17798211983346 39.171200965093924))","SNOUFFER SCHOOL","RD",,,"A30","0","0","2",,"40","MCG","MCG","cc3da958-3908-479c-9562-1dfcd45583b9"
"107,650","224.154",,"MULTILINESTRING ((-77.17798211983346 39.171200965093924, -77.17807144514884 39.171306019412846, -77.1781829375478 39.1714596039327, -77.17827807313444 39.171595709179876, -77.17836088447987 39.17174006985453))","SNOUFFER SCHOOL","RD",,,"A30","0","0","2",,"40","MCG","MCG","66557bbe-0d5a-4a9e-879d-4f0e5cb2d3f1"
"166,626","2,481.83",,"MULTILINESTRING ((-77.12617922752659 39.05077226836149, -77.13067056271633 39.05100467062311, -77.13229405862837 39.051110014821305, -77.13333393494591 39.05122913012475, -77.13371607587304 39.051273224897336, -77.13382570370364 39.0512883728574, -77.13392345605088 39.05130816716185, -77.13410577832771 39.05135952528646, -77.13426346871678 39.05141914927796, -77.13435509461975 39.05145774112815, -77.13444100293617 39.051498655452676, -77.1345145891777 39.05154078555154, -77.13457496181562 39.0515782123545, -77.13473495585306 39.051692316703786))","MONTROSE","PKWY",,,"A30","0","0","2",,"40","MCG","MCG","ffa34839-80c4-41ab-952d-89bdcd6aee60"
"166,624","665.172",,"MULTILINESTRING ((-77.13473495585306 39.051692316703786, -77.13490385022153 39.05185677661898, -77.13512265725684 39.05211324408463, -77.13535557901497 39.05238436808973, -77.13554708940869 39.052635203804854, -77.13580780870518 39.05293967146988, -77.13607546402925 39.05318655617457))","MONTROSE","PKWY",,,"A30","0","0","2",,"40","MCG","MCG","abcf9f69-40d3-4108-8df7-c9246effcaec"
"119,403","594.014",,"MULTILINESTRING ((-77.13607546402925 39.05318655617457, -77.13666944219791 39.053513629031144, -77.13689365966239 39.053602001267826, -77.13709230870427 39.0536701528333, -77.13731296756724 39.053738107096024, -77.13769349951974 39.0538529781243, -77.1379216639186 39.05393199064873, -77.13792298493833 39.053932246723804))","MONTROSE","RD",,,"A30","0","0","2",,"40","MCG","RO","e4559374-c72e-4409-af3e-f101bab627db"
"166,576","367.608",,"MULTILINESTRING ((-77.13490006099728 39.05357342564774, -77.13507039410523 39.053566279524475, -77.13521867835712 39.053537965291156, -77.13541972390814 39.05347852996664, -77.13563437043211 39.05339539627512, -77.135841044104 39.05328704608761, -77.13607546402925 39.05318655617457))","MONTROSE","RD",,,"A30","0","0","2",,"40","MCG","RO","8b1e83df-6013-461a-9caf-c234b9d16a84"
"57,793","469.662",,"MULTILINESTRING ((-77.13326184527712 39.05339649030463, -77.13445363374954 39.05352503246223, -77.13490006099728 39.05357342564774))","MONTROSE","RD",,,"A30","0","0","2",,"40","MCG","RO","1a91e0cb-25aa-4209-a518-d96931670f60"
"100,494","1,123.88",,"MULTILINESTRING ((-77.13921596897173 39.054254019390214, -77.13945202759508 39.054317317544715, -77.13963830865559 39.054360682953565, -77.13972153563206 39.05437774406814, -77.13985187450037 39.0544013562903, -77.14000596475918 39.05441567244765, -77.14014639521923 39.05442211096704, -77.14109895467415 39.05442920386897, -77.1417434556316 39.054469267148136, -77.14314185416475 39.05444439973459))","MONTROSE","RD",,,"A30","0","0","2",,"40","MCG","RO","f40dd80c-58ab-4352-9e75-fd0b458e3de4"
"112,844","723.979",,"MULTILINESTRING ((-77.1915683595461 39.02509247753219, -77.19163574940313 39.02511862237142, -77.1917035793072 39.02514476735177, -77.19177052580378 39.02516962647498, -77.19183747165306 39.02519422792766, -77.19190485708044 39.02521865656546, -77.19197180533311 39.025243686725396, -77.19204316400788 39.02527300019395, -77.19211408459726 39.02530300075939, -77.19218500524637 39.02533300128169, -77.19225636432951 39.02536240019675, -77.1923180282528 39.02538615247461, -77.19237969151875 39.02540964618698, -77.1924417945934 39.02543305446693, -77.1925034588711 39.02545689222381, -77.19256292621544 39.02548141998434, -77.19262195337456 39.025506290748915, -77.1926814203432 39.02553107608295, -77.19274088688756 39.02555568933163, -77.19280739878143 39.02558226462987, -77.19287434979317 39.02560849595584, -77.19294086131997 39.02563489912295, -77.19383856423785 39.02599507418936))","DEMOCRACY","BLVD",,,"A30","0","0","2",,"45","MCG","MCG","e4ca05c3-40f2-4bc8-8b09-a3cb9601aef7"
